method,seed,heldout,n_test,accuracy,macro_f1,embedding_only_accuracy,embedding_only_macro_f1,train_graph_hash,test_graph_hash,support_graph_hash,trainable_parameters,test_mask_leakage_check
sagpool_50,20260923,env_ubuntu22_v2,163,0.9079754601226994,0.9399999999999997,0.9079754601226994,0.9399999999999997,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,226097,True
sagpool_50,20260923,single_host_ubuntu22_container,88,0.8522727272727273,0.8065993265993266,0.8409090909090909,0.7947474747474748,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,226097,True
coregate_lineage,20260923,env_ubuntu22_template_v1,55,0.9636363636363636,0.9688888888888889,0.9636363636363636,0.9688888888888889,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,225968,True
coregate_lineage,20260923,env_ubuntu22_v1,54,0.9629629629629629,0.9765151515151516,0.9629629629629629,0.9772727272727273,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,225968,True
coregate_lineage,20260923,env_ubuntu22_v2,163,0.9631901840490797,0.977037037037037,0.9631901840490797,0.977037037037037,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,225968,True
coregate_lineage,20260923,single_host_ubuntu22_container,88,0.9431818181818182,0.8992592592592593,0.9431818181818182,0.8992592592592593,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,225968,True
coregate_full_rule,20260923,env_ubuntu22_template_v1,55,0.9636363636363636,0.977037037037037,0.9636363636363636,0.977037037037037,b8f97a126635de18,1b50f7adc69aef67,aaaae2dfd5f70584,225968,True
coregate_full_rule,20260923,env_ubuntu22_v1,54,0.9629629629629629,0.9772727272727273,0.9629629629629629,0.9765151515151516,8d19b32384a8f8c4,66d66b092e1d21f7,906a2ba4ec7c138c,225968,True
coregate_full_rule,20260923,env_ubuntu22_v2,163,0.9631901840490797,0.977037037037037,0.9631901840490797,0.9777777777777777,aad352d1fd6ce428,5942f7b459cb4357,24229aa9509dc525,225968,True
coregate_full_rule,20260923,single_host_ubuntu22_container,88,0.9545454545454546,0.9229629629629629,0.9545454545454546,0.9244444444444443,ad299b2b489502d7,d7bb44bd868845c3,a41d190f7848f5b5,225968,True
